target,seed,conv,pool,loss,lambda1,explainer,acc_train,acc_test,f1_train,f1_test,global_dir_train,global_dir_test,local_dir_train,local_dir_test
1UZF-X8Z,1337,nn,mean,MSE+AC,1.0,cam,0.4002404217720937,0.4012419301754966,0.2869137455713331,0.2810727733804656,0.4396887159533074,0.4755244755244755,0.5015948963317385,0.5300546448087432
1UZF-X8Z,1337,nn,mean,MSE,1.0,cam,0.4014270808252554,0.3888098013098013,0.2961165293850119,0.2267268085449904,0.3813229571984435,0.3496503496503496,0.4864433811802233,0.4644808743169399
3EJ1-5BP,1337,nn,mean,MSE+UCN,1.0,cam,0.4182492632680602,0.5191441441441442,0.3968519931025078,0.4905405405405405,0.849624060150376,0.8513513513513513,0.7026239067055393,0.6298076923076923
3EJ1-5BP,1337,nn,mean,MSE+AC,1.0,cam,0.4482939627206544,0.6284612534612535,0.3967839241866702,0.5442138567138567,0.5977443609022557,0.7162162162162162,0.5029154518950437,0.5961538461538461
3EJ1-5BP,1337,nn,mean,MSE,1.0,cam,0.5001020752430527,0.5493243243243244,0.4626302877400435,0.5276485901485901,0.8796992481203008,0.9054054054054054,0.6311953352769679,0.5721153846153846
4D2R-DYK,1337,nn,mean,MSE+UCN,1.0,cam,0.5210867321978433,0.4725341325341325,0.4617724867724868,0.3888888888888889,0.8888888888888888,0.8,0.4810996563573883,0.4766355140186916
4D2R-DYK,1337,nn,mean,MSE+AC,1.0,cam,0.5383231737398405,0.4317299367299367,0.383988932273246,0.3518853695324283,0.9074074074074074,0.8,0.5498281786941581,0.5046728971962616
4D2R-DYK,1337,nn,mean,MSE,1.0,cam,0.4600757010479232,0.2945526695526695,0.3563854143919504,0.118552036199095,0.4259259259259259,0.2666666666666666,0.4054982817869416,0.4205607476635514
3KFC-61X,1337,nn,mean,MSE+UCN,1.0,cam,0.4556428140895052,0.3959639556301816,0.3109975962575025,0.3138573451506975,0.484375,0.4719101123595505,0.4640287769784172,0.4253393665158371
3KFC-61X,1337,nn,mean,MSE+AC,1.0,cam,0.3150210353117062,0.3518581330544318,0.1411599085120031,0.2124697936213051,0.090625,0.2696629213483146,0.3273381294964029,0.3257918552036199
3KFC-61X,1337,nn,mean,MSE,1.0,cam,0.3125779037394386,0.2853295250684542,0.1912750853968443,0.1923950655100862,0.1375,0.2134831460674157,0.2398081534772182,0.3167420814479638
3PBB-PBD,1337,nn,mean,MSE+UCN,1.0,cam,0.3791943226423092,0.4942449793899069,0.4319072269668915,0.5126322232314514,0.4335570469798657,0.6280193236714976,0.4289605083976396,0.602803738317757
3PBB-PBD,1337,nn,mean,MSE+AC,1.0,cam,0.3756023571879276,0.2356965565298898,0.3263230804778307,0.2109741688475928,0.4442953020134228,0.3188405797101449,0.368588288697231,0.4158878504672897
3PBB-PBD,1337,nn,mean,MSE,1.0,cam,0.3183518466991621,0.3485774089034958,0.2959243417078416,0.3467878777801603,0.2255033557046979,0.1497584541062802,0.3967317294598275,0.2990654205607476
2WOG-ZZD,1337,nn,mean,MSE+UCN,1.0,cam,0.4452963030450275,0.5092453036260376,0.4060383387870632,0.5046695659080981,0.8188775510204082,0.7431192660550459,0.7112622826908541,0.6854460093896714
2WOG-ZZD,1337,nn,mean,MSE+AC,1.0,cam,0.3309827502429542,0.4449541284403669,0.288265306122449,0.3990825688073394,0.7831632653061225,0.8899082568807339,0.63718820861678,0.7981220657276995
2WOG-ZZD,1337,nn,mean,MSE,1.0,cam,0.183573250728863,0.3217726081258191,0.1450495366311692,0.3164651098137336,0.3494897959183674,0.2752293577981651,0.3363567649281935,0.2816901408450704
1NFU-RRP,1337,nn,mean,MSE+UCN,1.0,cam,0.4871096136960657,0.4122620715640698,0.3201441171683877,0.4317528711468105,0.4745762711864407,0.8181818181818182,0.378657487091222,0.4496644295302013
1NFU-RRP,1337,nn,mean,MSE+AC,1.0,cam,0.505757375373912,0.3935352674006628,0.4082319105590995,0.4132261202419305,0.7627118644067796,0.7272727272727273,0.4388984509466437,0.4832214765100671
1NFU-RRP,1337,nn,mean,MSE,1.0,cam,0.5296555260407197,0.3827950482063204,0.3907849349933729,0.196506990605308,0.6271186440677966,0.3333333333333333,0.5490533562822719,0.4630872483221476
1OIQ-HDU,1337,nn,mean,MSE+UCN,1.0,cam,0.6875241601432077,0.6180799592564298,0.4495198907237635,0.3885829856418091,0.9682539682539684,0.8823529411764706,0.7295597484276729,0.6153846153846154
1OIQ-HDU,1337,nn,mean,MSE+AC,1.0,cam,0.4706727135298564,0.5570028011204481,0.477383546010997,0.6044641920939499,0.3809523809523809,0.7647058823529411,0.5471698113207547,0.8461538461538461
1OIQ-HDU,1337,nn,mean,MSE,1.0,cam,0.4896825396825397,0.6320728291316525,0.5004427165159879,0.6842562853080064,0.238095238095238,0.8823529411764706,0.5345911949685535,0.8076923076923077
2OAG-DLI,1337,nn,mean,MSE+UCN,1.0,cam,0.3989393022232005,0.4385155669246578,0.385609729253797,0.3735019366598314,0.3813559322033898,0.4848484848484848,0.3927038626609442,0.4890510948905109
2OAG-DLI,1337,nn,mean,MSE+AC,1.0,cam,0.5810000733729548,0.5801652892561984,0.5521747555645861,0.5454545454545454,0.9576271186440678,0.8787878787878788,0.8197424892703863,0.7007299270072993
2OAG-DLI,1337,nn,mean,MSE,1.0,cam,0.3334997982243745,0.3541289518562246,0.3293280871670702,0.2878787878787879,0.2457627118644068,0.2121212121212121,0.2317596566523605,0.3576642335766423
1Q3W-ATU,1337,nn,mean,MSE+UCN,1.0,cam,0.5409130992464326,0.5653571428571429,0.4486133395224304,0.5150791632609814,0.797979797979798,0.8363636363636363,0.6741996233521658,0.7463768115942029
