target,seed,conv,pool,loss,lambda1,explainer,acc_train,acc_test,f1_train,f1_test,global_dir_train,global_dir_test,local_dir_train,local_dir_test,rmse_test,pcc_test,n_compounds,n_pairs_init,n_pairs,n_pairs_train,n_pairs_test
3PBB-PBD,1337,nn,mean,MSE+AC,1.0,cam,0.3756023571879276,0.2356965565298898,0.3263230804778307,0.2109741688475928,0.4442953020134228,0.3188405797101449,0.368588288697231,0.4158878504672897,0.2274890765547752,0.990920240936746,73,1073,1035,828,207
3PBB-PBD,1337,nn,mean,MSE,1.0,cam,0.3183518466991621,0.3485774089034958,0.2959243417078416,0.3467878777801603,0.2255033557046979,0.1497584541062802,0.3967317294598275,0.2990654205607476,0.2779792994260788,0.9860353028620694,73,1073,1035,828,207
2WOG-ZZD,1337,nn,mean,MSE+UCN,1.0,cam,0.4452963030450275,0.5092453036260376,0.4060383387870632,0.5046695659080981,0.8188775510204082,0.7431192660550459,0.7112622826908541,0.6854460093896714,0.3022988736629486,0.9585021913269768,53,555,545,436,109
2WOG-ZZD,1337,nn,mean,MSE+AC,1.0,cam,0.3309827502429542,0.4449541284403669,0.288265306122449,0.3990825688073394,0.7831632653061225,0.8899082568807339,0.63718820861678,0.7981220657276995,0.397601842880249,0.931043577099326,53,555,545,436,109
2WOG-ZZD,1337,nn,mean,MSE,1.0,cam,0.183573250728863,0.3217726081258191,0.1450495366311692,0.3164651098137336,0.3494897959183674,0.2752293577981651,0.3363567649281935,0.2816901408450704,0.286138653755188,0.9507029225715397,53,555,545,436,109
1NFU-RRP,1337,nn,mean,MSE+UCN,1.0,cam,0.4871096136960657,0.4122620715640698,0.3201441171683877,0.4317528711468105,0.4745762711864407,0.8181818181818182,0.378657487091222,0.4496644295302013,0.278322584927082,0.8926505418148102,37,198,165,132,33
1NFU-RRP,1337,nn,mean,MSE+AC,1.0,cam,0.505757375373912,0.3935352674006628,0.4082319105590995,0.4132261202419305,0.7627118644067796,0.7272727272727273,0.4388984509466437,0.4832214765100671,0.2666185349225998,0.959217958796251,37,198,165,132,33
1NFU-RRP,1337,nn,mean,MSE,1.0,cam,0.5296555260407197,0.3827950482063204,0.3907849349933729,0.196506990605308,0.6271186440677966,0.3333333333333333,0.5490533562822719,0.4630872483221476,0.2423865050077438,0.948795882843102,37,198,165,132,33
1OIQ-HDU,1337,nn,mean,MSE+UCN,1.0,cam,0.6875241601432077,0.6180799592564298,0.4495198907237635,0.3885829856418091,0.9682539682539684,0.8823529411764706,0.7295597484276729,0.6153846153846154,0.5286045968532562,0.9896855968190283,19,97,87,70,17
1OIQ-HDU,1337,nn,mean,MSE+AC,1.0,cam,0.4706727135298564,0.5570028011204481,0.477383546010997,0.6044641920939499,0.3809523809523809,0.7647058823529411,0.5471698113207547,0.8461538461538461,1.1467985808849337,0.9587124445005448,19,97,87,70,17
1OIQ-HDU,1337,nn,mean,MSE,1.0,cam,0.4896825396825397,0.6320728291316525,0.5004427165159879,0.6842562853080064,0.238095238095238,0.8823529411764706,0.5345911949685535,0.8076923076923077,0.6311264634132385,0.988570925411452,19,97,87,70,17
2OAG-DLI,1337,nn,mean,MSE+UCN,1.0,cam,0.3989393022232005,0.4385155669246578,0.385609729253797,0.3735019366598314,0.3813559322033898,0.4848484848484848,0.3927038626609442,0.4890510948905109,0.267381589859724,0.915777038581032,34,170,165,132,33
2OAG-DLI,1337,nn,mean,MSE+AC,1.0,cam,0.5810000733729548,0.5801652892561984,0.5521747555645861,0.5454545454545454,0.9576271186440678,0.8787878787878788,0.8197424892703863,0.7007299270072993,0.1732178814709186,0.971093811479808,34,170,165,132,33
2OAG-DLI,1337,nn,mean,MSE,1.0,cam,0.3334997982243745,0.3541289518562246,0.3293280871670702,0.2878787878787879,0.2457627118644068,0.2121212121212121,0.2317596566523605,0.3576642335766423,0.0883395932614803,0.995544128868954,34,170,165,132,33
1Q3W-ATU,1337,nn,mean,MSE+UCN,1.0,cam,0.5409130992464326,0.5653571428571429,0.4486133395224304,0.5150791632609814,0.797979797979798,0.8363636363636363,0.6741996233521658,0.7463768115942029,0.3597725629806518,0.9701945830122336,35,378,275,220,55
1Q3W-ATU,1337,nn,mean,MSE+AC,1.0,cam,0.4898589065255732,0.5410533910533911,0.4004123752229813,0.4500885478158206,0.8383838383838383,0.8545454545454545,0.6308851224105462,0.7246376811594203,0.1591733172535896,0.994426814874014,35,378,275,220,55
1Q3W-ATU,1337,nn,mean,MSE,1.0,cam,0.4085608064774731,0.491082251082251,0.3201599326599326,0.3784776334776334,0.4090909090909091,0.4363636363636363,0.4519774011299435,0.3840579710144927,0.4906268268823623,0.9937198707706408,35,378,275,220,55
1OYN-4RR,1337,nn,mean,MSE+UCN,1.0,cam,0.5402256611667042,0.4452714902890495,0.4169540946925237,0.394740733939477,0.4289655172413793,0.2288557213930348,0.39104797641383,0.328922495274102,0.3596356883645057,0.9746668794203348,58,1044,1007,806,201
1OYN-4RR,1337,nn,mean,MSE+AC,1.0,cam,0.2897338486958162,0.2118657403062582,0.1770233224066895,0.1618230503766061,0.0910344827586207,0.0696517412935323,0.2310372554274993,0.1947069943289225,0.2286542132496833,0.9937109528118095,58,1044,1007,806,201
1OYN-4RR,1337,nn,mean,MSE,1.0,cam,0.3349128805935414,0.2306480215391541,0.2212198042296761,0.14533823726434,0.1627586206896551,0.0895522388059701,0.3181452693647815,0.2911153119092627,0.2588220313191414,0.9936397552961238,58,1044,1007,806,201
3TK5-D1Q,1337,nn,mean,MSE+UCN,1.0,cam,0.5,0.5,0.5,0.5,0.9583333333333334,0.9230769230769232,0.6927374301675978,0.78125,0.3625419288873672,0.0,28,76,67,54,13
3TK5-D1Q,1337,nn,mean,MSE+AC,1.0,cam,0.4956065329686653,0.3911673262634801,0.3449611119382456,0.3010877883875595,0.5833333333333334,0.4615384615384615,0.4972067039106145,0.46875,0.0758283045142889,0.0,28,76,67,54,13
3TK5-D1Q,1337,nn,mean,MSE,1.0,cam,0.5226276208812973,0.5921131752862523,0.3053093740853491,0.3517143548035996,0.3958333333333333,0.4615384615384615,0.3519553072625698,0.46875,0.1969792693853378,0.0,28,76,67,54,13
3DBS-GD9,1337,nn,mean,MSE+UCN,1.0,cam,0.4445989990688132,0.4113440379065379,0.283276922884152,0.3062320951107716,0.175438596491228,0.0625,0.3780918727915194,0.2987012987012987,0.2837679833173752,0.9828579703274992,23,89,80,64,16
3DBS-GD9,1337,nn,mean,MSE+AC,1.0,cam,0.4447932521268434,0.6052208208458209,0.3743732873050943,0.595054945054945,0.3333333333333333,0.625,0.4734982332155477,0.5324675324675324,0.4002143442630768,0.9898094032206948,23,89,80,64,16
3DBS-GD9,1337,nn,mean,MSE,1.0,cam,0.4549509063634451,0.6169147692585193,0.3454730715485156,0.5917405511155511,0.3508771929824561,0.6875,0.4734982332155477,0.5194805194805194,0.8370622992515564,0.9823303754018026,23,89,80,64,16
1O42-843,1337,nn,mean,MSE+UCN,1.0,cam,0.5303774481561508,0.5417410224794126,0.3430663352190791,0.3940094510901331,0.7467204843592331,0.8690909090909091,0.7195896433805569,0.7617777777777778,0.342591181397438,0.9255041274261604,90,1433,1377,1102,275
1O42-843,1337,nn,mean,MSE+AC,1.0,cam,0.5143936048425177,0.4516416824567683,0.3073704700383824,0.2617979252363385,0.5660948536831484,0.5418181818181819,0.4697117733268197,0.456,0.2669925987720489,0.9486100161859304,90,1433,1377,1102,275
1O42-843,1337,nn,mean,MSE,1.0,cam,0.4457866682703991,0.4197720507125235,0.3044492284976328,0.2637203069339426,0.3572149344096871,0.3963636363636363,0.4213483146067415,0.4542222222222222,0.2611710056662559,0.964261448772867,90,1433,1377,1102,275
3NC9-TR3,1337,nn,mean,MSE+UCN,1.0,cam,0.3762989152914526,0.3499288905538905,0.2736559938306623,0.2446512258749653,0.2189054726368159,0.1607142857142857,0.2886297376093295,0.1954022988505747,0.3929021209478378,0.8988622336511456,72,417,280,224,56
3NC9-TR3,1337,nn,mean,MSE+AC,1.0,cam,0.3986146040250518,0.3415669647812505,0.1366173741063996,0.0786718708462406,0.1293532338308457,0.125,0.2682215743440233,0.3103448275862069,0.3105876892805099,0.907772834294026,72,417,280,224,56
3NC9-TR3,1337,nn,mean,MSE,1.0,cam,0.4410070029473014,0.360851177592249,0.1491529025665618,0.0997291515673868,0.2288557213930348,0.2321428571428571,0.4927113702623906,0.3908045977011494,0.3775118738412857,0.9012955393750482,72,417,280,224,56
4AZ0-S61,1337,nn,mean,MSE+UCN,1.0,cam,0.488133179081455,0.306671626984127,0.4041370329135889,0.3347990585122938,0.3793103448275862,0.0416666666666666,0.4011461318051575,0.1969696969696969,0.3014882514253258,0.9442756460297832,30,136,121,97,24
4AZ0-S61,1337,nn,mean,MSE+AC,1.0,cam,0.3824461777047984,0.343708664021164,0.2388946940671078,0.3003472222222222,0.1149425287356321,0.125,0.5329512893982808,0.4393939393939394,0.2918049544095993,0.9967185295903328,30,136,121,97,24
4AZ0-S61,1337,nn,mean,MSE,1.0,cam,0.3759920634920634,0.3844246031746031,0.3409519599174771,0.3956196581196581,0.3908045977011494,0.3333333333333333,0.4527220630372492,0.5,0.2355306223034858,0.99518658345724,30,136,121,97,24
2ICA-2IC,1337,nn,mean,MSE+UCN,1.0,cam,0.3485631810999458,0.4813318130282416,0.2487474978843265,0.4282091097308488,0.6764705882352942,0.4642857142857143,0.6166666666666667,0.3972602739726027,0.1829086057841777,0.983109036468127,33,143,142,114,28
2ICA-2IC,1337,nn,mean,MSE+AC,1.0,cam,0.4584840132634251,0.4986690888476602,0.2113725366969311,0.2521645021645021,0.8137254901960784,0.5357142857142857,0.6625,0.589041095890411,0.2763315513730049,0.967976131662338,33,143,142,114,28
2ICA-2IC,1337,nn,mean,MSE,1.0,cam,0.5071127402009754,0.5113153215831787,0.3207469593715268,0.3232304285350504,0.8333333333333334,0.3928571428571428,0.7041666666666667,0.6027397260273972,0.2476227432489395,0.9754115977541064,33,143,142,114,28
1W0X-OLO,1337,nn,mean,MSE+UCN,1.0,cam,0.4665458271206291,0.4892107996528914,0.3405066745625626,0.3114578694446505,0.4350499615680246,0.3817427385892116,0.4968824570856747,0.5167553191489361,0.4024472236633301,0.9885886381871056,143,4423,3615,2892,723
1W0X-OLO,1337,nn,mean,MSE+AC,1.0,cam,0.4780037705955016,0.4901933589692926,0.4749674014494345,0.487435800713809,0.6641045349730976,0.7164591977869986,0.5840966823185282,0.5566489361702127,0.1428203918039798,0.998638253722339,143,4423,3615,2892,723
1W0X-OLO,1337,nn,mean,MSE,1.0,cam,0.4295979151280458,0.4487161054893542,0.2975074107870771,0.2922796919012057,0.3662567255956956,0.3817427385892116,0.4012778077130321,0.4537234042553191,0.1658181436359882,0.9951862755562496,143,4423,3615,2892,723
4RSS-4MG,1337,nn,mean,MSE+UCN,1.0,cam,0.3807458667357996,0.3050792557610739,0.3369312385042251,0.2357798766889676,0.4731543624161073,0.406060606060606,0.5459651197162282,0.4919786096256685,0.4368076846003532,0.942350197802204,71,904,828,663,165
4RSS-4MG,1337,nn,mean,MSE+AC,1.0,cam,0.3713844018583951,0.2646532423805151,0.273790761317903,0.1357781780509053,0.4295302013422818,0.3090909090909091,0.5013301803133313,0.3775401069518717,0.6567070931196213,0.906902849169344,71,904,828,663,165
4RSS-4MG,1337,nn,mean,MSE,1.0,cam,0.4006405623645556,0.2362593467138922,0.3333193160362031,0.075448642266824,0.4781879194630872,0.296969696969697,0.5217262784510789,0.4385026737967914,0.5873574018478394,0.8978085488123008,71,904,828,663,165
2HXL-422,1337,nn,mean,MSE+UCN,1.0,cam,0.5956470493108423,0.6029406791125541,0.4980552428018033,0.4315159972788649,0.853448275862069,0.9375,0.6481481481481481,0.7464788732394366,0.4830246716737747,0.8519334922753365,27,163,161,129,32
2HXL-422,1337,nn,mean,MSE+AC,1.0,cam,0.4754416082002289,0.4966765873015873,0.4441640256295429,0.4642282196969697,0.1896551724137931,0.1875,0.4208754208754209,0.4788732394366197,0.2085193879902362,0.9393787219033538,27,163,161,129,32
2HXL-422,1337,nn,mean,MSE,1.0,cam,0.4356289184952978,0.4554698773448773,0.265621166744125,0.2208180708180708,0.293103448275862,0.15625,0.3585858585858585,0.3591549295774648,0.3284351378679275,0.9240387302601932,27,163,161,129,32
4HBP-17J,1337,nn,mean,MSE+UCN,1.0,cam,0.4989027754652754,0.4703557667598764,0.4701002900295751,0.452834228176694,0.6363636363636364,0.3561643835616438,0.5996309963099631,0.5126582278481012,0.2167974412441253,0.981544363601719,42,394,367,294,73
4HBP-17J,1337,nn,mean,MSE+AC,1.0,cam,0.4804586984984711,0.4047418715226934,0.2668817819386,0.1438682322243966,0.4545454545454545,0.273972602739726,0.4538745387453874,0.3227848101265823,0.1815469488501548,0.9877709231061744,42,394,367,294,73
4HBP-17J,1337,nn,mean,MSE,1.0,cam,0.5044861336054519,0.5072324935338633,0.4368961530893349,0.4673089467610015,0.4015151515151515,0.3287671232876712,0.4428044280442804,0.4113924050632911,0.1617059223353862,0.9867270189346106,42,394,367,294,73
3N3G-93N,1337,nn,mean,MSE+UCN,1.0,cam,0.1575952380952381,0.4523809523809524,0.1535640655640655,0.4523809523809524,0.7733333333333333,0.6190476190476191,0.673728813559322,0.5866666666666667,0.5182311460375786,0.8951557011687926,30,189,105,84,21
3N3G-93N,1337,nn,mean,MSE+AC,1.0,cam,-0.0378300218300218,0.4808578987150416,-0.0868076466017642,0.3151360544217687,0.28,0.7142857142857143,0.3601694915254237,0.4266666666666667,0.791930079460144,0.9634472891460588,30,189,105,84,21
3N3G-93N,1337,nn,mean,MSE,1.0,cam,-0.0784057701557701,0.6403976975405546,-0.0979553170141405,0.6796485260770975,0.1733333333333333,0.4285714285714285,0.3601694915254237,0.76,0.3635170757770538,0.9750316772783842,30,189,105,84,21
2BUB-FPB,1337,nn,mean,MSE+UCN,1.0,cam,0.4651192427793122,0.4200220060061268,0.408597952680329,0.3749357552864861,0.6085501293169024,0.5142387732749178,0.6369134363159429,0.6052825552825553,0.2118546068668365,0.9813098454784857,226,9909,9130,7304,1826
2BUB-FPB,1337,nn,mean,MSE+AC,1.0,cam,0.390793013499549,0.3663172464529454,0.2935308487987247,0.2722099011998232,0.3751711547238703,0.3044906900328587,0.3644345671815797,0.3443488943488944,0.0776410326361656,0.9965088902673538,226,9909,9130,7304,1826
2BUB-FPB,1337,nn,mean,MSE,1.0,cam,0.4512431799230065,0.4447596705503332,0.4481967087953323,0.441117620552767,0.7091130381865206,0.7278203723986857,0.587510929758088,0.5909090909090909,0.1029429100453853,0.994813694032986,226,9909,9130,7304,1826
1XOW-R18,1337,nn,mean,MSE+UCN,1.0,cam,0.3768402834858531,0.4127719502719502,0.2886774978297296,0.2988455988455988,0.5189873417721519,0.5909090909090909,0.5731225296442688,0.5294117647058824,0.8346135318279266,0.7088444304100145,22,120,110,88,22
1XOW-R18,1337,nn,mean,MSE+AC,1.0,cam,0.3876860481290861,0.4691142191142191,0.3734177215189873,0.4545454545454545,0.759493670886076,0.6363636363636364,0.4505928853754941,0.4823529411764706,0.3834538906812668,0.9516916987634576,22,120,110,88,22
1XOW-R18,1337,nn,mean,MSE,1.0,cam,0.4968158423854626,0.6070658508158508,0.3993896925858951,0.5190254820936638,0.5949367088607594,0.6818181818181818,0.6600790513833992,0.6470588235294118,0.1347191631793975,0.9910980857280908,22,120,110,88,22
4JQA-ID8,1337,nn,mean,MSE+UCN,1.0,cam,0.4303565855181023,0.3931758056758055,0.2732744783306581,0.2337662337662337,0.5786516853932584,0.6363636363636364,0.5720130932896891,0.5799373040752351,0.3008909672498703,0.9238171821463766,57,536,495,396,99
4JQA-ID8,1337,nn,mean,MSE+AC,1.0,cam,0.3877875869448903,0.3420033670033669,0.1603676208311039,0.1115440115440115,0.1910112359550561,0.3232323232323232,0.5188216039279869,0.5360501567398119,0.2632496282458305,0.9388112115181352,57,536,495,396,99
4JQA-ID8,1337,nn,mean,MSE,1.0,cam,0.4788266898519707,0.4091931216931216,0.3815632245407526,0.2850729517396184,0.297752808988764,0.4747474747474747,0.4869067103109656,0.5172413793103449,0.273134745657444,0.9335632783574404,57,536,495,396,99
4KFO-1QS,1337,nn,mean,MSE+UCN,1.0,cam,0.4446589856666387,0.5075569320939691,0.3493458741677011,0.388584232711913,0.3979591836734694,0.419753086419753,0.4996930632289748,0.5076628352490421,0.3107268884778023,0.9785438685808708,48,451,408,327,81
4KFO-1QS,1337,nn,mean,MSE+AC,1.0,cam,0.409900207030309,0.4883187799854467,0.2911227130697814,0.3547215869827955,0.2925170068027211,0.5185185185185185,0.4112952731737262,0.5057471264367817,0.2578987330198288,0.9887575681617088,48,451,408,327,81
4KFO-1QS,1337,nn,mean,MSE,1.0,cam,0.4341644325062692,0.4683921702440221,0.3281826394430131,0.3556058612975824,0.3979591836734694,0.4320987654320987,0.5303867403314917,0.5076628352490421,0.2419426590204239,0.988983318815814,48,451,408,327,81
4OBZ-2S4,1337,nn,mean,MSE+UCN,1.0,cam,0.4476892420176598,0.5113633320057436,0.3792881796580367,0.3901794136200492,0.6085700529610014,0.6637781629116117,0.5130814757453399,0.5708721056048475,0.2678864672780037,0.9324467998560744,239,6181,5770,4616,1154
4OBZ-2S4,1337,nn,mean,MSE+AC,1.0,cam,0.3954325113244171,0.414832058485108,0.3095803252143637,0.2589061548100574,0.4082811747713047,0.32842287694974,0.4089274849272636,0.4895044362692058,0.2141716033220291,0.9584770499607064,239,6181,5770,4616,1154
4OBZ-2S4,1337,nn,mean,MSE,1.0,cam,0.4331406419507327,0.4538736412350064,0.3148427983349704,0.2888479521450473,0.4581126624939817,0.4194107452339688,0.4444936113723104,0.5124431941138282,0.1971291154623031,0.9627193416653108,239,6181,5770,4616,1154
3POZ-03P,1337,nn,mean,MSE+UCN,1.0,cam,0.4752764376973237,0.4018078512396694,0.3584830334966881,0.3087280051495228,0.6012658227848101,0.4545454545454545,0.4539130434782609,0.358974358974359,0.5444687902927399,0.887097154844703,36,221,220,176,44
3POZ-03P,1337,nn,mean,MSE+AC,1.0,cam,0.3983053602515627,0.4895709404232131,0.2032722422567917,0.3305597811279629,0.3354430379746835,0.4318181818181818,0.3478260869565217,0.3525641025641026,0.2290298193693161,0.9753825313161204,36,221,220,176,44
3POZ-03P,1337,nn,mean,MSE,1.0,cam,0.4493732006390235,0.3976267104108013,0.2903352066978276,0.2332066292293565,0.310126582278481,0.3181818181818182,0.4069565217391304,0.4294871794871794,0.2948988080024719,0.9569127568541714,36,221,220,176,44
3TV7-07Q,1337,nn,mean,MSE+UCN,1.0,cam,0.3425948583580163,0.3972260483624119,0.2646642991511412,0.2888801854710945,0.4947368421052631,0.4734848484848485,0.5196641626159965,0.5641952983725136,0.3733332976698875,0.9419721257426246,86,1353,1320,1056,264
3TV7-07Q,1337,nn,mean,MSE+AC,1.0,cam,0.3108708323839902,0.2848581185228913,0.2215932649222123,0.1638449408335771,0.3263157894736842,0.2424242424242424,0.3963764913831197,0.3670886075949367,0.2903515771031379,0.95214827351766,86,1353,1320,1056,264
3TV7-07Q,1337,nn,mean,MSE,1.0,cam,0.3441449077238551,0.3132489669421487,0.2689490189802231,0.2255343772389227,0.3294736842105263,0.303030303030303,0.4149359257622624,0.3707052441229656,0.2308335993438959,0.9696993238241208,86,1353,1320,1056,264
4HMN-16J,1337,nn,mean,MSE+UCN,1.0,cam,0.4615740740740741,0.275,0.4375132275132274,0.2497142857142857,0.5111111111111111,0.28,0.5252918287937743,0.4264705882352941,0.1296580880880355,0.9947126602554768,27,165,125,100,25
4HMN-16J,1337,nn,mean,MSE+AC,1.0,cam,0.5934259259259259,0.3759999999999999,0.5432539682539682,0.3223809523809524,0.7111111111111111,0.4,0.5019455252918288,0.4558823529411764,0.1015987582504749,0.9947262125012544,27,165,125,100,25
4HMN-16J,1337,nn,mean,MSE,1.0,cam,0.5909259259259259,0.4863333333333333,0.5272751322751321,0.4155238095238095,0.5666666666666667,0.56,0.6342412451361867,0.6470588235294118,0.1730626299977302,0.988948613307124,27,165,125,100,25
3A2C-PDY,1337,nn,mean,MSE+UCN,1.0,cam,0.5483815762296775,0.4896780303030303,0.4683483534749357,0.4358581759149941,0.810126582278481,0.6136363636363636,0.6703755215577191,0.5111111111111111,0.1987908855080604,0.9717952034634396,36,243,220,176,44
3A2C-PDY,1337,nn,mean,MSE+AC,1.0,cam,0.4155990282572561,0.4704545454545455,0.3581374321880651,0.4545454545454545,0.2911392405063291,0.3636363636363636,0.4214186369958275,0.5888888888888889,0.1075487658381462,0.9937938355288726,36,243,220,176,44
3A2C-PDY,1337,nn,mean,MSE,1.0,cam,0.4459148446490218,0.475,0.4219409282700422,0.4659090909090909,0.1518987341772152,0.2272727272727272,0.3991655076495132,0.5277777777777778,0.3576884195208549,0.8718507771068562,36,243,220,176,44
1OIR-HDY,1337,nn,mean,MSE+UCN,1.0,cam,0.7077730483762389,0.8052617521367522,0.4423728813559322,0.5,0.9322033898305084,0.9375,0.5214285714285715,0.5333333333333333,0.3138524740934372,0.9912215831926834,18,88,82,66,16
1OIR-HDY,1337,nn,mean,MSE+AC,1.0,cam,0.4845719252498913,0.5588141025641026,0.4152542372881356,0.5,0.8135593220338984,1.0,0.4785714285714286,0.4888888888888889,0.2610697150230407,0.9987689929021089,18,88,82,66,16
1OIR-HDY,1337,nn,mean,MSE,1.0,cam,0.4388085742771685,0.5,0.4274952919020715,0.5,0.2372881355932203,0.0,0.6142857142857143,0.5555555555555556,0.2526064217090606,0.9988753684317992,18,88,82,66,16
2PZY-B18,1337,nn,mean,MSE+UCN,1.0,cam,0.5121455715600218,0.505514891728352,0.436298335866801,0.3430201805471803,0.3857758620689655,0.1627906976744186,0.4066869300911854,0.4131455399061033,0.2115505412220955,0.9822006235636078,65,653,645,516,129
2PZY-B18,1337,nn,mean,MSE+AC,1.0,cam,0.5150750278043902,0.5441365043005731,0.2918782055082785,0.3073889046033095,0.4482758620689655,0.4961240310077519,0.5750759878419452,0.4436619718309859,0.1536341533064842,0.9896524270610056,65,653,645,516,129
2PZY-B18,1337,nn,mean,MSE,1.0,cam,0.3543211787941457,0.3777192527714524,0.1558362578516661,0.1592005724233058,0.0711206896551724,0.0620155038759689,0.2261398176291793,0.3732394366197183,0.1689436286687851,0.9896612498303105,65,653,645,516,129
4MXO-DB8,1337,nn,mean,MSE+UCN,1.0,cam,0.4511786284353615,0.4453566191970269,0.3072586354075371,0.2696932145726494,0.564463261403988,0.5589970501474927,0.494963858277047,0.5181518151815182,0.2927231192588806,0.9613798618503582,216,11210,10170,8136,2034
4MXO-DB8,1337,nn,mean,MSE+AC,1.0,cam,0.4414275946028508,0.4667098920269669,0.2180745328362676,0.2262062416834921,0.2670035509423655,0.2143559488692232,0.3650511514002449,0.3334768259434639,0.1605345010757446,0.9903618918860656,216,11210,10170,8136,2034
4MXO-DB8,1337,nn,mean,MSE,1.0,cam,0.4825397310190927,0.5002861970640198,0.3837255146579083,0.3805865950732077,0.4793772193389784,0.4655850540806293,0.4608365920132717,0.4666379681446405,0.2013691365718841,0.9817059553641144,216,11210,10170,8136,2034
4WOT-3SG,1337,nn,mean,MSE+UCN,1.0,cam,0.3892843513330714,0.3393272901341553,0.1876518819440672,0.2785646600965151,0.2516778523489933,0.216867469879518,0.4179566563467492,0.5368421052631579,0.765860915184021,0.4346862600252029,55,426,415,332,83
4WOT-3SG,1337,nn,mean,MSE+AC,1.0,cam,0.3928042463668256,0.3562006787481441,0.2509319812720397,0.2526989158593,0.3959731543624161,0.5301204819277109,0.4071207430340557,0.3789473684210526,0.855491042137146,0.2751691579916145,55,426,415,332,83
4WOT-3SG,1337,nn,mean,MSE,1.0,cam,0.3745121229418635,0.3131143897185618,0.1829424493657081,0.2622885996282056,0.3255033557046979,0.4216867469879518,0.434984520123839,0.3421052631578947,0.7819530665874481,0.280675331477747,55,426,415,332,83
3OCS-746,1337,nn,mean,MSE+UCN,1.0,cam,0.4315290798540338,0.4800726005878017,0.2917372430037896,0.310177692350758,0.2352231604342581,0.2956521739130435,0.4757770561336072,0.4648411829134721,0.364610031247139,0.9567558285004872,127,2482,2303,1843,460
3OCS-746,1337,nn,mean,MSE+AC,1.0,cam,0.483492465871591,0.4837335821678827,0.2750556794909785,0.2654247652131485,0.379372738238842,0.3413043478260869,0.4171913314334945,0.4074479737130339,0.4013841301202774,0.9445668755915192,127,2482,2303,1843,460
