target,seed,conv,pool,loss,lambda1,explainer,acc_train,acc_test,f1_train,f1_test,global_dir_train,global_dir_test,local_dir_train,local_dir_test,rmse_test,pcc_test,n_compounds,n_pairs_init,n_pairs,n_pairs_train,n_pairs_test
1UZF-X8Z,1337,nn,mean,MSE+AC,1.0,cam,0.4002404217720937,0.4012419301754966,0.2869137455713331,0.2810727733804656,0.4396887159533074,0.4755244755244755,0.5015948963317385,0.5300546448087432,0.3604823648929596,0.97011836907484,62,854,715,572,143
1UZF-X8Z,1337,nn,mean,MSE,1.0,cam,0.4014270808252554,0.3888098013098013,0.2961165293850119,0.2267268085449904,0.3813229571984435,0.3496503496503496,0.4864433811802233,0.4644808743169399,0.3984769135713577,0.9650919438420748,62,854,715,572,143
3EJ1-5BP,1337,nn,mean,MSE+UCN,1.0,cam,0.4182492632680602,0.5191441441441442,0.3968519931025078,0.4905405405405405,0.849624060150376,0.8513513513513513,0.7026239067055393,0.6298076923076923,0.3674752414226532,0.9301129422223704,44,469,370,296,74
3EJ1-5BP,1337,nn,mean,MSE+AC,1.0,cam,0.4482939627206544,0.6284612534612535,0.3967839241866702,0.5442138567138567,0.5977443609022557,0.7162162162162162,0.5029154518950437,0.5961538461538461,0.2579774558544159,0.9705101376671774,44,469,370,296,74
3EJ1-5BP,1337,nn,mean,MSE,1.0,cam,0.5001020752430527,0.5493243243243244,0.4626302877400435,0.5276485901485901,0.8796992481203008,0.9054054054054054,0.6311953352769679,0.5721153846153846,0.2664518654346466,0.9629433948462516,44,469,370,296,74
4D2R-DYK,1337,nn,mean,MSE+UCN,1.0,cam,0.5210867321978433,0.4725341325341325,0.4617724867724868,0.3888888888888889,0.8888888888888888,0.8,0.4810996563573883,0.4766355140186916,1.0098422765731812,0.9524330699050896,17,94,75,60,15
4D2R-DYK,1337,nn,mean,MSE+AC,1.0,cam,0.5383231737398405,0.4317299367299367,0.383988932273246,0.3518853695324283,0.9074074074074074,0.8,0.5498281786941581,0.5046728971962616,0.5526094734668732,0.987667281883972,17,94,75,60,15
4D2R-DYK,1337,nn,mean,MSE,1.0,cam,0.4600757010479232,0.2945526695526695,0.3563854143919504,0.118552036199095,0.4259259259259259,0.2666666666666666,0.4054982817869416,0.4205607476635514,0.4975419044494629,0.9834041550826206,17,94,75,60,15
3KFC-61X,1337,nn,mean,MSE+UCN,1.0,cam,0.4556428140895052,0.3959639556301816,0.3109975962575025,0.3138573451506975,0.484375,0.4719101123595505,0.4640287769784172,0.4253393665158371,0.2882723659276962,0.9525235711532684,48,518,445,356,89
3KFC-61X,1337,nn,mean,MSE+AC,1.0,cam,0.3150210353117062,0.3518581330544318,0.1411599085120031,0.2124697936213051,0.090625,0.2696629213483146,0.3273381294964029,0.3257918552036199,0.4753668308258056,0.8500746483740198,48,518,445,356,89
3KFC-61X,1337,nn,mean,MSE,1.0,cam,0.3125779037394386,0.2853295250684542,0.1912750853968443,0.1923950655100862,0.1375,0.2134831460674157,0.2398081534772182,0.3167420814479638,0.4776947945356369,0.8772503554171613,48,518,445,356,89
3PBB-PBD,1337,nn,mean,MSE+UCN,1.0,cam,0.3791943226423092,0.4942449793899069,0.4319072269668915,0.5126322232314514,0.4335570469798657,0.6280193236714976,0.4289605083976396,0.602803738317757,0.3440088927745819,0.983860310150826,73,1073,1035,828,207
