target,seed,conv,pool,loss,lambda1,explainer,rmse_test,pcc_test
1UZF-X8Z,1337,nn,mean,MSE,1.0,cam,0.3984769135713577,0.9650919438420748
1UZF-X8Z,1337,nn,mean,MSE+AC,1.0,cam,0.3604823648929596,0.97011836907484
3EJ1-5BP,1337,nn,mean,MSE,1.0,cam,0.2664518654346466,0.9629433948462516
3EJ1-5BP,1337,nn,mean,MSE+AC,1.0,cam,0.2579774558544159,0.9705101376671774
3EJ1-5BP,1337,nn,mean,MSE+UCN,1.0,cam,0.3674752414226532,0.9301129422223704
4D2R-DYK,1337,nn,mean,MSE,1.0,cam,0.4975419044494629,0.9834041550826206
4D2R-DYK,1337,nn,mean,MSE+AC,1.0,cam,0.5526094734668732,0.987667281883972
4D2R-DYK,1337,nn,mean,MSE+UCN,1.0,cam,1.0098422765731812,0.9524330699050896
3KFC-61X,1337,nn,mean,MSE,1.0,cam,0.4776947945356369,0.8772503554171613
3KFC-61X,1337,nn,mean,MSE+AC,1.0,cam,0.4753668308258056,0.8500746483740198
3KFC-61X,1337,nn,mean,MSE+UCN,1.0,cam,0.2882723659276962,0.9525235711532684
3PBB-PBD,1337,nn,mean,MSE,1.0,cam,0.2779792994260788,0.9860353028620694
3PBB-PBD,1337,nn,mean,MSE+AC,1.0,cam,0.2274890765547752,0.990920240936746
3PBB-PBD,1337,nn,mean,MSE+UCN,1.0,cam,0.3440088927745819,0.983860310150826
2WOG-ZZD,1337,nn,mean,MSE,1.0,cam,0.286138653755188,0.9507029225715397
2WOG-ZZD,1337,nn,mean,MSE+AC,1.0,cam,0.397601842880249,0.931043577099326
2WOG-ZZD,1337,nn,mean,MSE+UCN,1.0,cam,0.3022988736629486,0.9585021913269768
1NFU-RRP,1337,nn,mean,MSE,1.0,cam,0.2423865050077438,0.948795882843102
1NFU-RRP,1337,nn,mean,MSE+AC,1.0,cam,0.2666185349225998,0.959217958796251
1NFU-RRP,1337,nn,mean,MSE+UCN,1.0,cam,0.278322584927082,0.8926505418148102
1OIQ-HDU,1337,nn,mean,MSE,1.0,cam,0.6311264634132385,0.988570925411452
1OIQ-HDU,1337,nn,mean,MSE+AC,1.0,cam,1.1467985808849337,0.9587124445005448
1OIQ-HDU,1337,nn,mean,MSE+UCN,1.0,cam,0.5286045968532562,0.9896855968190283
2OAG-DLI,1337,nn,mean,MSE,1.0,cam,0.0883395932614803,0.995544128868954
2OAG-DLI,1337,nn,mean,MSE+AC,1.0,cam,0.1732178814709186,0.971093811479808
2OAG-DLI,1337,nn,mean,MSE+UCN,1.0,cam,0.267381589859724,0.915777038581032
1Q3W-ATU,1337,nn,mean,MSE,1.0,cam,0.4906268268823623,0.9937198707706408
1Q3W-ATU,1337,nn,mean,MSE+AC,1.0,cam,0.1591733172535896,0.994426814874014
1Q3W-ATU,1337,nn,mean,MSE+UCN,1.0,cam,0.3597725629806518,0.9701945830122336
1OYN-4RR,1337,nn,mean,MSE,1.0,cam,0.2588220313191414,0.9936397552961238
1OYN-4RR,1337,nn,mean,MSE+AC,1.0,cam,0.2286542132496833,0.9937109528118095
1OYN-4RR,1337,nn,mean,MSE+UCN,1.0,cam,0.3596356883645057,0.9746668794203348
3TK5-D1Q,1337,nn,mean,MSE,1.0,cam,0.1969792693853378,0.0
3TK5-D1Q,1337,nn,mean,MSE+AC,1.0,cam,0.0758283045142889,0.0
3TK5-D1Q,1337,nn,mean,MSE+UCN,1.0,cam,0.3625419288873672,0.0
3DBS-GD9,1337,nn,mean,MSE,1.0,cam,0.8370622992515564,0.9823303754018026
3DBS-GD9,1337,nn,mean,MSE+AC,1.0,cam,0.4002143442630768,0.9898094032206948
3DBS-GD9,1337,nn,mean,MSE+UCN,1.0,cam,0.2837679833173752,0.9828579703274992
1O42-843,1337,nn,mean,MSE,1.0,cam,0.2611710056662559,0.964261448772867
1O42-843,1337,nn,mean,MSE+AC,1.0,cam,0.2669925987720489,0.9486100161859304
1O42-843,1337,nn,mean,MSE+UCN,1.0,cam,0.342591181397438,0.9255041274261604
3NC9-TR3,1337,nn,mean,MSE,1.0,cam,0.3775118738412857,0.9012955393750482
3NC9-TR3,1337,nn,mean,MSE+AC,1.0,cam,0.3105876892805099,0.907772834294026
3NC9-TR3,1337,nn,mean,MSE+UCN,1.0,cam,0.3929021209478378,0.8988622336511456
4AZ0-S61,1337,nn,mean,MSE,1.0,cam,0.2355306223034858,0.99518658345724
4AZ0-S61,1337,nn,mean,MSE+AC,1.0,cam,0.2918049544095993,0.9967185295903328
4AZ0-S61,1337,nn,mean,MSE+UCN,1.0,cam,0.3014882514253258,0.9442756460297832
2ICA-2IC,1337,nn,mean,MSE,1.0,cam,0.2476227432489395,0.9754115977541064
2ICA-2IC,1337,nn,mean,MSE+AC,1.0,cam,0.2763315513730049,0.967976131662338
2ICA-2IC,1337,nn,mean,MSE+UCN,1.0,cam,0.1829086057841777,0.983109036468127
1W0X-OLO,1337,nn,mean,MSE,1.0,cam,0.1658181436359882,0.9951862755562496
