target,seed,conv,pool,loss,lambda1,explainer,rmse_test,pcc_test
2AYP-43A,1337,nn,mean,MSE,1.0,gradcam,0.2760562971234321,0.9884065899046977
2AYP-43A,1337,nn,mean,MSE+UCN,1.0,gradcam,0.4480069875717163,0.9698000992440132
2AYP-43A,1337,nn,mean,MSE+AC,1.0,gradcam,0.1700190976262092,0.9901666980481608
1RHR-CNE,1337,nn,mean,MSE,1.0,gradcam,0.3483130857348442,0.9721858501082844
1RHR-CNE,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3903088718652725,0.948870074910834
1RHR-CNE,1337,nn,mean,MSE+AC,1.0,gradcam,0.3684240877628326,0.9575593582402524
3POZ-03P,1337,nn,mean,MSE,1.0,gradcam,0.3677359893918037,0.9424853456724832
3POZ-03P,1337,nn,mean,MSE+UCN,1.0,gradcam,0.4188455492258072,0.9123648569965628
3POZ-03P,1337,nn,mean,MSE+AC,1.0,gradcam,1.06875541806221,0.9170440855164952
3N0T-OPY,1337,nn,mean,MSE,1.0,gradcam,0.5349351614713669,0.912284386396618
3N0T-OPY,1337,nn,mean,MSE+UCN,1.0,gradcam,0.5385987311601639,0.9334943604533212
3N0T-OPY,1337,nn,mean,MSE+AC,1.0,gradcam,0.35364580899477,0.9687837931622304
2VV9-IM9,1337,nn,mean,MSE,1.0,gradcam,0.1918518915772438,0.94706706112926
2VV9-IM9,1337,nn,mean,MSE+UCN,1.0,gradcam,0.2964605242013931,0.9476819149460808
2VV9-IM9,1337,nn,mean,MSE+AC,1.0,gradcam,0.2041829749941826,0.9386061949352263
3Q8W-AZV,1337,nn,mean,MSE,1.0,gradcam,0.223983809351921,0.9741373224788727
3Q8W-AZV,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3281262144446373,0.9478805093997702
3Q8W-AZV,1337,nn,mean,MSE+AC,1.0,gradcam,0.24742441624403,0.9760720317939168
4TPM-35E,1337,nn,mean,MSE,1.0,gradcam,0.7207900285720825,0.649826234323047
4TPM-35E,1337,nn,mean,MSE+UCN,1.0,gradcam,0.5602167844772339,0.8063494625833773
4TPM-35E,1337,nn,mean,MSE+AC,1.0,gradcam,0.6865516602993011,0.7180073364179286
2FPT-ILB,1337,nn,mean,MSE,1.0,gradcam,0.2139961272478103,0.956420205357264
2FPT-ILB,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1453052014112472,0.9905785399575626
2FPT-ILB,1337,nn,mean,MSE+AC,1.0,gradcam,0.2083273157477378,0.9707137590984672
1H01-FAL,1337,nn,mean,MSE,1.0,gradcam,0.1207857020199298,0.9708231609275596
1H01-FAL,1337,nn,mean,MSE+UCN,1.0,gradcam,0.4366070628166199,0.6527864417950859
1H01-FAL,1337,nn,mean,MSE+AC,1.0,gradcam,0.115288496017456,0.985977274757821
2X8D-X8D,1337,nn,mean,MSE,1.0,gradcam,0.169324092566967,0.9815949058021218
2X8D-X8D,1337,nn,mean,MSE+UCN,1.0,gradcam,0.4523038119077682,0.9656592277053436
2X8D-X8D,1337,nn,mean,MSE+AC,1.0,gradcam,0.7535417973995209,0.9544959568823616
4FAL-0T0,1337,nn,mean,MSE,1.0,gradcam,0.8384457230567932,0.9235037387699678
4FAL-0T0,1337,nn,mean,MSE+UCN,1.0,gradcam,0.2018408253788948,0.9504760588743348
4FAL-0T0,1337,nn,mean,MSE+AC,1.0,gradcam,0.2314886227250099,0.9298521688744408
3F7Z-34O,1337,nn,mean,MSE,1.0,gradcam,0.0762862935662269,0.9968688819683136
3F7Z-34O,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1561599299311638,0.9901935857169728
3F7Z-34O,1337,nn,mean,MSE+AC,1.0,gradcam,0.1031601838767528,0.997486939501138
1P2A-5BN,1337,nn,mean,MSE,1.0,gradcam,0.1225780770182609,0.9590279881538664
1P2A-5BN,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3430973142385483,0.8980972382652479
1P2A-5BN,1337,nn,mean,MSE+AC,1.0,gradcam,0.1759363412857055,0.9495876039965182
1S63-778,1337,nn,mean,MSE,1.0,gradcam,0.0697607845067977,0.9984814739576096
1S63-778,1337,nn,mean,MSE+UCN,1.0,gradcam,0.2218582332134246,0.983218139049058
1S63-778,1337,nn,mean,MSE+AC,1.0,gradcam,0.0593466591089963,0.9989309477197156
2R3R-6SC,1337,nn,mean,MSE,1.0,gradcam,0.4582141563296318,0.9761114226196272
2R3R-6SC,1337,nn,mean,MSE+UCN,1.0,gradcam,0.2978691011667251,0.9901796513813196
2R3R-6SC,1337,nn,mean,MSE+AC,1.0,gradcam,0.628840833902359,0.9839192235571682
3NUN-JMZ,1337,nn,mean,MSE,1.0,gradcam,0.1189065463840961,0.9940737174639184
3NUN-JMZ,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3208474367856979,0.9459933618606492
3NUN-JMZ,1337,nn,mean,MSE+AC,1.0,gradcam,0.2410028055310249,0.932714420497672
1O46-903,1337,nn,mean,MSE,1.0,gradcam,1.4709000289440155,0.4030076653709297
1O46-903,1337,nn,mean,MSE+UCN,1.0,gradcam,1.399854063987732,0.287069042040913
1O46-903,1337,nn,mean,MSE+AC,1.0,gradcam,1.7858170568943024,0.258453170449284
2E9P-77A,1337,nn,mean,MSE,1.0,gradcam,0.1725915744900703,0.9905900241318912
2E9P-77A,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1813111528754234,0.9912768829127576
2E9P-77A,1337,nn,mean,MSE+AC,1.0,gradcam,0.128461118787527,0.9953442424910404
1YRS-L47,1337,nn,mean,MSE,1.0,gradcam,0.4915941804647445,0.9560827302086644
1YRS-L47,1337,nn,mean,MSE+UCN,1.0,gradcam,0.6396885514259338,0.8463274357541755
1YRS-L47,1337,nn,mean,MSE+AC,1.0,gradcam,0.523915559053421,0.9113141235433126
3M6F-BJZ,1337,nn,mean,MSE,1.0,gradcam,0.1477673165500164,0.9756610587830432
3M6F-BJZ,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1597175896167755,0.9798876833994746
3M6F-BJZ,1337,nn,mean,MSE+AC,1.0,gradcam,0.1765899434685707,0.9668500007067268
3OQK-S52,1337,nn,mean,MSE,1.0,gradcam,0.2298499271273613,0.9766942611502784
3OQK-S52,1337,nn,mean,MSE+UCN,1.0,gradcam,0.5832407623529434,0.8377240096068959
3OQK-S52,1337,nn,mean,MSE+AC,1.0,gradcam,0.2969090342521667,0.9681934087252596
3EQM-ASD,1337,nn,mean,MSE,1.0,gradcam,0.2793028876185417,0.9681378490107476
3EQM-ASD,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1679317057132721,0.9869787362726976
3EQM-ASD,1337,nn,mean,MSE+AC,1.0,gradcam,0.0659021660685539,0.9993118120555108
3K3B-L31,1337,nn,mean,MSE,1.0,gradcam,0.352154403924942,0.9159194999260952
3K3B-L31,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3560334593057632,0.9001602018638846
3K3B-L31,1337,nn,mean,MSE+AC,1.0,gradcam,0.3290933072566986,0.9085029416545616
3U6H-03X,1337,nn,mean,MSE,1.0,gradcam,0.0988611243665218,0.995396535094524
3U6H-03X,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3149323984980583,0.9834648705111364
3U6H-03X,1337,nn,mean,MSE+AC,1.0,gradcam,0.1343435905873775,0.9889693280844396
3KWF-B1Q,1337,nn,mean,MSE,1.0,gradcam,0.4143813028931618,0.9096850501398164
3KWF-B1Q,1337,nn,mean,MSE+UCN,1.0,gradcam,0.3287307471036911,0.952558718287043
3KWF-B1Q,1337,nn,mean,MSE+AC,1.0,gradcam,0.41391571611166,0.908469406718036
4LYN-1YG,1337,nn,mean,MSE,1.0,gradcam,0.3161943964660167,0.8968013288517606
4LYN-1YG,1337,nn,mean,MSE+UCN,1.0,gradcam,0.2997066378593445,0.9173907837465184
4LYN-1YG,1337,nn,mean,MSE+AC,1.0,gradcam,0.4012220948934555,0.875154372318714
1OHJ-COP,1337,nn,mean,MSE,1.0,gradcam,0.1952896080911159,0.980952538655352
1OHJ-COP,1337,nn,mean,MSE+UCN,1.0,gradcam,1.0481292605400083,0.531387371858888
1OHJ-COP,1337,nn,mean,MSE+AC,1.0,gradcam,0.2347128130495548,0.9756806185064034
2CNF-F32,1337,nn,mean,MSE,1.0,gradcam,0.1762564554810524,0.9773200297613126
2CNF-F32,1337,nn,mean,MSE+UCN,1.0,gradcam,0.1560629233717918,0.9650690816550522
2CNF-F32,1337,nn,mean,MSE+AC,1.0,gradcam,0.2020033895969391,0.9602997378474504
